id,timestamp,symbol,expiry,strike,option_type,oi,oi_change,volume,iv,last_price,spot_price
56659,2026-05-05 03:30:01,NIFTY,2026-05-19,22000.0,CE,130,,130,48.94,2222.0,23951.85
56660,2026-05-05 03:30:01,NIFTY,2026-05-19,26000.0,CE,384280,,499135,19.5,6.45,23951.85
56661,2026-05-05 03:30:01,NIFTY,2026-05-19,23800.0,CE,42315,,20020,25.27,583.8,23951.85
56662,2026-05-05 03:30:01,NIFTY,2026-05-19,25950.0,PE,0,,0,31.17,2007.0,23951.85
56663,2026-05-05 03:30:01,NIFTY,2026-05-19,21950.0,PE,0,,0,28.13,27.35,23951.85
56664,2026-05-05 03:30:01,NIFTY,2026-05-19,26050.0,CE,715,,1755,19.47,5.55,23951.85
56665,2026-05-05 03:30:01,NIFTY,2026-05-19,23850.0,PE,8710,,32175,15.06,207.5,23951.85
56666,2026-05-05 03:30:01,NIFTY,2026-05-19,22050.0,CE,0,,0,,1948.5,23951.85
56667,2026-05-05 03:30:01,NIFTY,2026-05-19,26000.0,PE,780,,390,,1800.55,23951.85
56668,2026-05-05 03:30:01,NIFTY,2026-05-19,23850.0,CE,6110,,10530,25.06,552.4,23951.85
56669,2026-05-05 03:30:01,NIFTY,2026-05-19,22000.0,PE,87685,,162175,23.4,11.35,23951.85
56670,2026-05-05 03:30:01,NIFTY,2026-05-19,22100.0,CE,0,,0,,1902.15,23951.85
56671,2026-05-05 03:30:01,NIFTY,2026-05-19,23900.0,PE,49010,,93405,14.92,226.35,23951.85
56672,2026-05-05 03:30:01,NIFTY,2026-05-19,23900.0,CE,26520,,60320,24.68,518.5,23951.85
56673,2026-05-05 03:30:01,NIFTY,2026-05-19,22050.0,PE,0,,0,28.15,33.35,23951.85
56674,2026-05-05 03:30:01,NIFTY,2026-05-19,22100.0,PE,108875,,152815,22.38,11.35,23951.85
56675,2026-05-05 03:30:01,NIFTY,2026-05-12,25650.0,PE,1040,,1040,,1400.0,23951.85
56676,2026-05-05 03:30:01,NIFTY,2026-05-12,25650.0,CE,91455,,407225,21.95,3.55,23951.85
56677,2026-05-05 03:30:01,NIFTY,2026-05-12,24250.0,CE,407550,,2862990,25.56,222.8,23951.85
56678,2026-05-05 03:30:01,NIFTY,2026-05-12,22350.0,CE,0,,0,,1059.6,23951.85
56679,2026-05-05 03:30:01,NIFTY,2026-05-12,22300.0,PE,263705,,1108250,24.8,4.9,23951.85
56680,2026-05-05 03:30:01,NIFTY,2026-05-12,22300.0,CE,130,,0,,1595.1,23951.85
56681,2026-05-05 03:30:01,NIFTY,2026-05-12,22400.0,PE,474500,,1633190,23.83,5.4,23951.85
56682,2026-05-05 03:30:01,NIFTY,2026-05-12,24300.0,CE,1651000,,9312615,25.03,198.3,23951.85
56683,2026-05-05 03:30:01,NIFTY,2026-05-12,25700.0,CE,885625,,2713945,22.04,3.05,23951.85
56684,2026-05-05 03:30:01,NIFTY,2026-05-12,22400.0,CE,0,,0,,1021.6,23951.85
56685,2026-05-05 03:30:01,NIFTY,2026-05-12,24250.0,PE,161525,,1722175,8.62,295.2,23951.85
56686,2026-05-05 03:30:01,NIFTY,2026-05-12,22350.0,PE,45825,,177320,24.25,5.05,23951.85
